"Country","Facility Name","Owner Name (Company)","Operator Name","Latitude","Longitude","City (Site Name)","County","State / Province / Territory","Zip Code / Postal Code","Address","Total Capacity (MW)","Total Renewable Capacity (MW)","Primary Energy Source","Primary Renewable Energy Source","Coal (MW)","Natural Gas (MW)","Petroleum (MW)","Other Energy Source (MW)","Hydroelectric (MW)","Pumped-Storage Hydroelectric (MW)","Nuclear (MW)","Solar (MW)","Wind (MW)","Geothermal (MW)","Biomass (MW)","Tidal (MW)","Source Agency","Reference Period"
"United States","Buffalo Dunes Wind Project","Buffalo Dunes Wind Project LLC","","37.620833","-101.076111","Satanta","Haskell","Kansas","67870","Haskell Co Rd","249.8","249.8","Wind","Wind","0","0","0","0","0","0","0","0","249.8","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Buffalo Gap 2 Wind Farm","AES Wind Generation Inc","","32.318221","-100.176986","Merkel","Nolan","Texas","79536","10718 FM 89","232.5","232.5","Wind","Wind","0","0","0","0","0","0","0","0","232.5","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Buffalo Gap 3 Wind Farm","AES Wind Generation Inc","","32.2878","-100.1","Nolan","Nolan","Texas","79537","4220-A FM 126","170.2","170.2","Wind","Wind","0","0","0","0","0","0","0","0","170.2","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Buffalo Gap Wind Farm","AES Wind Generation Inc","","32.311556","-100.061589","Merkel","Taylor","Texas","79536","10718 FM89","120.6","120.6","Wind","Wind","0","0","0","0","0","0","0","0","120.6","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Buffalo Ridge II LLC","Avangrid Renewables LLC","","44.5281","-96.6267","Elkton","Brookings","South Dakota","57026","21006 486th Avenue","210","210","Wind","Wind","0","0","0","0","0","0","0","0","210","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Buford","USCE-Mobile District","","34.162279","-84.077367","Buford","Forsyth","Georgia","30518","7000 Powerhouse Road","131.2","131.2","Hydroelectric","Hydroelectric","0","0","0","0","131.2","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Bull Creek Wind","Bull Creek Wind LLC","","32.929014","-101.578617","O'Donnell","Borden","Texas","79351","1016d County Road","180","180","Wind","Wind","0","0","0","0","0","0","0","0","180","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Bull Run","Tennessee Valley Authority","","36.0211","-84.1567","Clinton","Anderson","Tennessee","37716","1265 EDGEMOOR RD.","950","0","Coal","","950","0","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Bull Shoals","USCE-Little Rock District","","36.3635","-92.5763","MOUNTAIN HOME","Marion","Arkansas","72653","324 W 7TH","340","340","Hydroelectric","Hydroelectric","0","0","0","0","340","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Burlington (CO)","Tri-State G & T Assn, Inc","","39.3561","-102.2431","Burlington","Kit Carson","Colorado","80807","21889 County Road 50","129.4","0","Petroleum","","0","0","129.4","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Burlington (IA)","Interstate Power and Light Co","","40.7412","-91.116667","Burlington","Des Moines","Iowa","52601","4282 Sullivan Slough Road","290.8","0","Coal","","212","78.8","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Butler Solar Project 103","Southern Power Co","","32.561944","-84.275833","Butler","Taylor","Georgia","31006","765 West Fall Line Freeway","103","103","Solar","Solar","0","0","0","0","0","0","0","103","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Butler-Warner Generation Plant","Public Works Comm-City of Fayetteville","","35.0986","-78.8294","Fayetteville","Cumberland","North Carolina","28312","2274 Custer Ave","303.4","0","Natural Gas","","0","303.4","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Byron Generating Station","Exelon Nuclear","","42.0742","-89.2819","Byron","Ogle","Illinois","61010","4450 North German Church Rd","2449.8","0","Nuclear","","0","0","0","0","0","0","2449.8","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","C D McIntosh Jr","City of Lakeland - (FL)","","28.0801","-81.9229","Lakeland","Polk","Florida","33801","3030 E. Lake Parker Dr","890.4","0","Natural Gas","","363.8","521.6","5","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","C R Wing Cogen Plant","Power Resources Ltd","","32.273178","-101.422386","Big Spring","Howard","Texas","79720","500 Refinery Road","230","0","Natural Gas","","0","230","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","C W Burdick","City of Grand Island - (NE)","","40.9228","-98.3269","Grand Island","Hall","Nebraska","68801","805 E Bischeld","240.8","0","Natural Gas","","0","240.8","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cabin Creek","Public Service Co of Colorado","","39.6551","-105.7088","Georgetown","Clear Creek","Colorado","80444","5167 Guanella Pass Road","300","300","Pumped Storage","Pumped Storage","0","0","0","0","0","300","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
