"Country","Facility Name","Owner Name (Company)","Operator Name","Latitude","Longitude","City (Site Name)","County","State / Province / Territory","Zip Code / Postal Code","Address","Total Capacity (MW)","Total Renewable Capacity (MW)","Primary Energy Source","Primary Renewable Energy Source","Coal (MW)","Natural Gas (MW)","Petroleum (MW)","Other Energy Source (MW)","Hydroelectric (MW)","Pumped-Storage Hydroelectric (MW)","Nuclear (MW)","Solar (MW)","Wind (MW)","Geothermal (MW)","Biomass (MW)","Tidal (MW)","Source Agency","Reference Period"
"Kazakhstan","ZHGTS","","","50.2833","57.1667","Aktobe","","Aktobe","","","84","0","Natural Gas","","0","84","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Ridder Leninogorsk CHP","","","50.3167","83.5167","Ridder","","East Kazakhstan","","","89","0","Coal","","89","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Zaysanskaya","","","48.0667","84.8167","Zaysan","","East Kazakhstan","","","14","14","Hydroelectric","Hydroelectric","0","0","0","0","14","0","0","0","0","0","0","0","",""
"Kazakhstan","Semipalatinsk CHP 1","","","50.4069","80.2520","Semey","","East Kazakhstan","","","18","0","Coal","","18","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Shulbinskaya","","","50.4000","81.0708","Shulba","","East Kazakhstan","","","702","702","Hydroelectric","Hydroelectric","0","0","0","0","702","0","0","0","0","0","0","0","",""
"Kazakhstan","Kentau CHP 5","","","43.1500","67.8833","Kentau","","Turkistan","","","18","0","Coal","","18","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Shardarinskaya","","","41.3833","67.9333","Shardara","","Turkistan","","","100","100","Hydroelectric","Hydroelectric","0","0","0","0","100","0","0","0","0","0","0","0","",""
"Kazakhstan","Shymkent CHP 3","","","42.3417","69.5901","Shymkent","","Turkistan","","","18","0","Natural Gas","","0","18","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Shymkent CHP 3","","","42.3417","69.5901","Shymkent","","Turkistan","","","160","0","Natural Gas","","0","160","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Shymkent CHP 3","","","42.3417","69.5901","Shymkent","","Turkistan","","","12","0","Natural Gas","","0","12","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Karachaganak","","","51.3533","53.2111","Karachaganak","","West Kazakhstan","","","216","0","Natural Gas","","0","216","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","ZHGTS","","","50.2833","57.1667","Aktobe","","Aktobe","","","34","0","Natural Gas","","0","34","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Ural","","","51.2167","51.3667","Ural","","West Kazakhstan","","","30","0","Natural Gas","","0","30","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Ural","","","51.2167","51.3667","Ural","","West Kazakhstan","","","54","0","Natural Gas","","0","54","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Merke","","","42.9234","73.1932","Merke","","Zhambyl","","","4","4","Hydroelectric","Hydroelectric","0","0","0","0","4","0","0","0","0","0","0","0","",""
"Kazakhstan","Taraz","","","42.8961","71.3984","Taraz","","Zhambyl","","","60","0","Natural Gas","","0","60","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Zhambyl","","","42.8961","71.3984","Zhambyl","","Zhambyl","","","1430","0","Natural Gas","","0","1430","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Karakistakskaya","","","42.8961","71.3984","Karakistak","","Zhambyl","","","2","2","Hydroelectric","Hydroelectric","0","0","0","0","2","0","0","0","0","0","0","0","",""
"Kazakhstan","Тасоткельская","","","42.8961","71.3984","Tasotkel","","Zhambyl","","","9","9","Hydroelectric","Hydroelectric","0","0","0","0","9","0","0","0","0","0","0","0","",""
"Kazakhstan","Erementau WPP","","","51.5200","72.8400","Erementau","","Akmola","","","45","45","Wind","Wind","0","0","0","0","0","0","0","0","45","0","0","0","",""
"Kazakhstan","GPES","","","50.2833","57.1667","Aktobe","","Aktobe","","","3","0","Natural Gas","","0","3","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Korday","","","43.0369","74.7114","Korday","","Zhambyl","","","21","21","Wind","Wind","0","0","0","0","0","0","0","0","21","0","0","0","",""
"Kazakhstan","Karatobe","","","50.2833","57.1667","Karatobe","","Aktobe","","","6","0","Natural Gas","","0","6","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Burnoye","","","42.9300","74.3200","Burnoye","","Zhambyl","","","50","50","Solar","Solar","0","0","0","0","0","0","0","50","0","0","0","0","",""
"Kazakhstan","Otar","","","43.8333","74.1500","Otar","","Zhambyl","","","1","1","Solar","Solar","0","0","0","0","0","0","0","1","0","0","0","0","",""
"Kazakhstan","СКЗ-U","","","44.8333","65.5000","Kyzylorda","","Kyzylorda","","","0","0","Solar","Solar","0","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","SPP","","","42.3417","69.5901","Shymkent","","Turkistan","","","1","1","Solar","Solar","0","0","0","0","0","0","0","1","0","0","0","0","",""
"Kazakhstan","SPP","","","42.3417","69.5901","Shymkent","","Turkistan","","","1","1","Solar","Solar","0","0","0","0","0","0","0","1","0","0","0","0","",""
"Kazakhstan","ВЭС-1","","","54.8700","69.1760","Petropavlovsk","","North Kazakhstan","","","4","4","Wind","Wind","0","0","0","0","0","0","0","0","4","0","0","0","",""
"Kazakhstan","ВЭС-2","","","54.8700","69.1760","Petropavlovsk","","North Kazakhstan","","","2","2","Wind","Wind","0","0","0","0","0","0","0","0","2","0","0","0","",""
"Kazakhstan","Almatinskaya","","","43.2567","76.9286","Almaty","","Almaty","","","35","35","Hydroelectric","Hydroelectric","0","0","0","0","35","0","0","0","0","0","0","0","",""
