"Reference Period","Source Agency","Tidal (MW)","Biomass (MW)","Geothermal (MW)","Wind (MW)","Solar (MW)","Nuclear (MW)","Pumped-Storage Hydroelectric (MW)","Hydroelectric (MW)","Other Energy Source (MW)","Petroleum (MW)","Natural Gas (MW)","Coal (MW)","Primary Renewable Energy Source","Primary Energy Source","Total Renewable Capacity (MW)","Total Capacity (MW)","Address","Zip Code / Postal Code","State / Province / Territory","County","City (Site Name)","Longitude","Latitude","Operator Name","Owner Name (Company)","Facility Name","Country"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","15","0","0","0","0","Hydroelectric","Hydroelectric","15","15","Nfd 300 Road","97447","Oregon","Douglas","Idleyld Park","-122.337924","43.251244","","PacifiCorp","Clearwater 1","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","26","0","0","0","0","Hydroelectric","Hydroelectric","26","26","Nfd 075 Road","97447","Oregon","Douglas","Idleyld Park","-122.409807","43.266894","","PacifiCorp","Clearwater 2","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","93.8","0","0","0","0","0","0","0","0","20","0","Biomass","Biomass","93.8","113.8","803 Mill Rd","83501","Idaho","Nez Perce","Lewiston","-116.976389","46.423056","","Clearwater Paper Corporation","Clearwater Paper IPP Lewiston","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","2.4","0","0","0","0","Hydroelectric","Hydroelectric","2.4","2.4","24 Mill St","3276","New Hampshire","Belknap","Tilton","-71.595975","43.440538","","Eagle Creek RE LLC","Clement Dam Hydro LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","70.6","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","70.6","70.6","1731 South WC Owen Avenue","33440","Florida","Hendry","Clewiston","-80.9377","26.7351","","United States Sugar Corp","Clewiston Sugar House","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","1.2","0","0","0","0","Hydroelectric","Hydroelectric","1.2","1.2","Highway 29","29329","South Carolina","Spartanburg","Converse","-81.8344","34.9953","","Converse Energy Inc","Clifton Dam 3 Power Station","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","5","0","0","0","0","0","0","0","Solar","Solar","5","5","Cline Park Drive","28637","North Carolina","Burke","Hildebran","-81.417","35.72","","Cline Solar Farm LLC","Cline Solar Farm, LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","3.2","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","3.2","3.2","9560 Heritage Road","61727","Illinois","Dewitt","Clinton","-88.961111","40.120833","","Wabash Valley Power Assn, Inc","Clinton LFGTE","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","6.4","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","6.4","6.4","286 Sand Road","12962","New York","Clinton","Morrisonville","-73.5944","44.6917","","Gibson County Generation LLC","Clinton LFGTE Facility","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","201","0","0","0","0","0","0","0","0","Wind","Wind","201","201","1409 Iron Road","66901","Kansas","Cloud","Concordia","-97.6644","39.4375","","Cloud County Windfarm, LLC","Cloud County Wind Farm","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","1.5","0","0","0","0","0","0","0","Solar","Solar","1.5","1.5","200 Kelley Rd","95425","California","Sonoma","Cloverdale","-123.017778","38.773056","","GLT Cloverdale Solar LLC","Cloverdale Solar I","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","2.8","0","0","0","0","0","0","0","Solar","Solar","2.8","2.8","749 West McPherson Hwy","43410","Ohio","Sandusky","Clyde","-82.984331","41.319351","","AEP Onsite Partners","Clyde Solar Array","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","10","0","0","0","0","0","0","0","Solar","Solar","10","10","751 El Dorado Valley Dr.","89005","Nevada","Clark","Boulder City","-114.9933","35.7881","","Copper Mountain 1 LLC","CM10","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","48","0","0","0","0","0","0","0","Solar","Solar","48","48","751 El Dorado Valley Drive","89005","Nevada","Clark","Boulder City","-114.9933","35.7814","","Copper Mountain 1 LLC","CM48","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","2.5","0","0","0","0","0","0","0","Solar","Solar","2.5","2.5","45 Brush Hill Road","6334","Connecticut","New London","Bozrah","-72.158607","41.570584","","SolarCity Corporation","CMEEC - Bozrah","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","2","0","0","0","0.8","0","0","0","Solar","Solar","2","2.8","9 Stott Ave","6360","Connecticut","New London","Norwich","-72.104609","41.576946","","Tesla Inc.","CMEEC - Norwich Stott St Solar","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","1.5","0","0","0","0","0","0","0","Solar","Solar","1.5","1.5","82 Rogers Rd","6360","Connecticut","New London","Norwich","-72.122544","41.538324","","SolarCity Corporation","CMEEC - Rogers Rd Solar","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","3.2","0","0","0","0","0","0","0","Solar","Solar","3.2","3.2","4919 Bucktown Road","21613","Maryland","Dorchester","Cambridge","-76.0192","38.5158","","Constellation Solar Maryland II LLC","CNE at Cambridge MD","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","6","0","0","0","0","0","0","0","0","Wind","Wind","6","6","117 East Third St","98520","Washington","Grays Harbor","Aberdeen","-124.065412","46.793581","","Coastal Community Action Program","Coastal Energy Project","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","6.8","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","6.8","6.8","21000 State Route 6","77511","Texas","Galveston","Alvin","-95.187642","29.427503","","TX LFG Energy, LP","Coastal Plains","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","5","0","0","0","0","0","0","0","Solar","Solar","5","5","3099 NC 27 E","27521","North Carolina","Harnett","Coats","-78.690576","35.414507","","Coats Solar Farm LLC","Coats Solar Farm, LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","33","0","0","0","0","Hydroelectric","Hydroelectric","33","33","Old Granville Road","1034","Massachusetts","Hampden","Granville","-72.864663","42.117112","","City of Holyoke Gas and Electric Dept.","Cobble Mountain","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","1.6","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","1.6","1.6","237 Landfill Road","27030","North Carolina","Surry","Mount Airy","-80.568333","36.438611","","Petra Engineering","COC Surry LFG, LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","60.4","0","0","0","0","Hydroelectric","Hydroelectric","60.4","60.4","336 Rainbow Dam Road","59404","Montana","Cascade","Great Falls","-111.194969","47.5375","","NorthWestern Energy","Cochrane","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","5.6","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","5.6","5.6","29160 Coffin Butte Road","97330","Oregon","Benton","Corvallis","-123.2234","44.6969","","Pacific Northwest Generating Coop","Coffin Butte","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","7.5","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","7.5","7.5","1991 Pruner Road","97469","Oregon","Douglas","Riddle","-123.359138","42.961126","","Co-Gen II","Co-Gen II LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","7.5","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","7.5","7.5","457 Front Street","97869","Oregon","Grant","Prairie City","-118.720601","44.458696","","Co-Generation Co","Co-Gen LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","1","0","0","0","0","0","0","0","Solar","Solar","1","1","8410 S. Rita Road","85747","Arizona","Pima","Tucson","-110.813333","32.101944","","Washington Gas Energy Systems","Cogenra - TEP","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","30","0","0","0","0","0","0","0","Solar","Solar","30","30","4533 Lane 2 North","81146","Colorado","Alamosa","Mosca","-105.955832","37.598579","","Alamosa Operating Services LLC","Cogentrix of Alamosa","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","4","0","0","0","0","0","0","0","Solar","Solar","4","4","400 Carleton Avenue","11722","New York","Suffolk","Central Islip","-73.194441","40.762465","","CD US Solar MT1 LLC","Cohalan","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","6.5","0","0","0","0","0","0","0","Solar","Solar","6.5","6.5","2289 Brown Road","27330","North Carolina","Lee","Sanford","-79.195789","35.557224","","Cohen Farm Solar, LLC","Cohen Farm Solar, LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","87.5","0","0","0","0","0","0","0","0","Wind","Wind","87.5","87.5","Brown Road","14826","New York","Steuben","Cohocton","-77.52","42.45","","First Wind O&M, LLC","Cohocton Wind Project","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","200","0","0","0","0","0","0","0","0","Wind","Wind","200","200","","79068","Texas","Carson","Panhandle","-101.151389","35.335556","","E ON Climate Renewables N America LLC","Colbec's Corner, LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","1.5","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","1.5","1.5","2268 Carpenter Canyon","93401","California","San Luis Obispo","San Luis Obispo","-120.599444","35.186667","","Toro Energy of California SLO","Cold Canyon 1","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","2.3","0","0","0","0","0","0","0","Solar","Solar","2.3","2.3","2200 Cold River Road","5701","Vermont","Rutland","North Clarendon","-72.952","43.5857","","AEP Onsite Partners","Cold River Road Solar","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","23","0","0","0","0","0","0","0","0","Wind","Wind","23","23","6000 N Foxtail Way","83623","Idaho","Elmore","Glenns Ferry","-115.400469","43.028056","","Aegis Renewables LLC","Cold Springs Windfarm","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","3","0","0","0","0","Hydroelectric","Hydroelectric","3","3","426B Colebrook River Rd.","6021","Connecticut","Litchfield","Colebrook","-73.0356","42.007778","","Metropolitan Dist of Hartford","Colebrook Hydroelectric","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","1.5","0","0","0","0","Hydroelectric","Hydroelectric","1.5","1.5","6007 Lee Jackson Hwy","24536","Virginia","Bedford","Coleman Falls","-79.3006","37.5035","","Holcomb Rock Company","Coleman Falls","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","12.1","0","0","0","0","Hydroelectric","Hydroelectric","12.1","12.1","Coleman Fish Hatchery Road","96022","California","Shasta","Anderson","-122.121904","40.404645","","Pacific Gas & Electric Co","Coleman PH","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","315","0","0","0","0","Hydroelectric","Hydroelectric","315","315","12700 Lake Francis Rd","95935","California","Yuba","Dobbins","-121.191666","39.330833","","Yuba County Water Agency","Colgate","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","2.5","0","0","0","0","0","0","0","Solar","Solar","2.5","2.5","1751 Hiers Corner Road","29488","South Carolina","Colleton","Walterboro","-80.6925","32.913333","","TIG Sun Energy I LLC","Colleton Solar Farm","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","253","0","0","0","0","Hydroelectric","Hydroelectric","253","253","477 Bret hart Drive","92547","California","Calaveras","Murphys","-120.380497","38.144636","","Northern California Power Agny","Collierville Powerhouse","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","1.2","0","0","0","0","Hydroelectric","Hydroelectric","1.2","1.2","Cottage Ave","1095","Massachusetts","Hampden","Wilbraham","-72.4227","42.1569","","Ampersand Collins Hydro LLC","Collins Facility","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","12","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","12","12","500 Main Street","96020","California","Plumas","Chester","-121.244431","40.303422","","Collins Pine Co","Collins Pine Project","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","1","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","1","1","13550 Aspinwall Avenue","44110","Ohio","Cuyahoga","Cleveland","-81.589167","41.555556","","Collinwood BioEnergy","Collinwood BioEnergy Facility","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","1.3","0","0","0","0","0","0","0","Solar","Solar","1.3","1.3","909 E. Colon Street","90044","California","Los Angeles","Wilmington","-118.252407","33.792694","","Los Angeles Department of Water & Power","Colon PV","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","4.8","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","4.8","4.8","1319 New Loudon","12047","New York","Albany","Cohoes","-73.7378","42.8025","","Innovative Energy Systems Inc","Colonie LFGTE Facility","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","162","0","0","0","0","0","0","0","0","Wind","Wind","162","162","8501 County Road E","81052","Colorado","Prowers","Lamar","-102.6231","37.7033","","Avangrid Renewables LLC","Colorado Green Holdings LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","91","0","0","0","0","0","0","0","0","Wind","Wind","91","91","20670 County Road 85","80728","Colorado","Logan","Fleming","-102.743055","40.756944","","Colorado Highlands Wind LLC","Colorado Highlands Wind","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","36","0","0","0","0","Hydroelectric","Hydroelectric","36","36","6734 County Route 24","13625","New York","St Lawrence","Pierrepont","-74.9583","44.5839","","Erie Boulevard Hydropower LP","Colton","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","2.5","0","0","0","0","0","0","0","Solar","Solar","2.5","2.5","1435 West Walnut Street","92418","California","San Bernardino","San Bernardino","-117.319444","34.093333","","Colton Solar One, LLC","Colton Solar One, LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","1","0","0","0","0","0","0","0","Solar","Solar","1","1","2042 Miguel Bustamante Pkwy","92324","California","San Bernardino","Colton","-117.361667","34.042222","","Colton Solar Two, LLC","Colton Solar Two, LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","3","0","0","0","0","0","0","0","12.6","47.5","22","Biomass","Natural Gas","3","85.1","1501 Business Loop 70 E","65205","Missouri","Boone","Columbia","-92.316768","38.964646","","City of Columbia - (MO)","Columbia (MO)","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","10","0","0","0","0","0","0","0","Solar","Solar","10","10","2954 Purdy Avenue","95301","California","Kern","Mojave","-118.164167","35.024722","","X-Elio North America Inc","Columbia 3","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","10.6","0","0","0","0","Hydroelectric","Hydroelectric","10.6","10.6","301 Gervais Street","29202","South Carolina","Richland","Columbia","-81.0494","33.9972","","City of Columbia SC","Columbia Canal Hydro","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","2","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","2","2","Highway 9 Spur","72556","Arkansas","Izard","Melbourne","-91.919802","36.060514","","Unilin Flooring NC LLC-Columbia Flooring","Columbia Flooring Melbourne","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","19.2","0","0","0","0","0","0","0","Solar","Solar","19.2","19.2","29078 Pittsburg-Antioch Highwa","94565","California","Contra Costa","Pittsburg","-121.86506","38.019671","","Columbia Solar Energy LLC","Columbia Solar Energy, LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","45.6","0","0","0","0","Hydroelectric","Hydroelectric","45.6","45.6","4757 3rd Ave","68601","Nebraska","Platte","Columbus","-97.3283","41.4639","","Loup River Public Power Dist","Columbus","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","128.6","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","128.6","128.6","4335 Carson Road","39703","Mississippi","Lowndes","Columbus","-88.46","33.3602","","International Paper Columbus Mill","Columbus MS","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","5","0","0","0","0","0","0","0","0","Wind","Wind","5","5","1973 Tower Rd","61367","Illinois","Lee","Sublette","-89.249722","41.660278","","FPC Services Inc.","Com Adam 1WF-1","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","120","0","0","0","0","0","0","0","Solar","Solar","120","120","2000 Lime Rd","81006","Colorado","Pueblo","Pueblo","-104.566667","38.205278","","Comanche Solar PV, LLC","Comanche Solar","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","1.5","0","0","0","0","Hydroelectric","Hydroelectric","1.5","1.5","Hwy 49 At Combie Rd/ Dam","95722","California","Nevada","Auburn","-121.0591","39.0096","","Nevada Irrigation District","Combie South","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","41","0","0","0","0","0","0","0","0","Wind","Wind","41","41","84700 White Reservoir Road","97862","Oregon","Umatilla","Milton-Freewater","-118.591","45.943","","Eurus Combine Hills I LLC","Combine Hills I","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","6.2","0","0","0","0","Hydroelectric","Hydroelectric","6.2","6.2","(Behind) 540 Prospect Ave","54113","Wisconsin","Outagamie","Combined Locks","-88.300548","44.273511","","City of Kaukauna","Combined Locks","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","127.3","0","0","0","0","Hydroelectric","Hydroelectric","127.3","127.3","Route 135","3771","New Hampshire","Grafton","Monroe","-72.000975","44.325053","","TransCanada Hydro Northeast Inc.,","Comerford","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","12","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","12","12","5926 Sheila Street","90040","California","Los Angeles","Commerce","-118.1538","33.9949","","Los Angeles County Sanitation","Commerce Refuse To Energy","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","1.1","0","0","0","0","0","0","0","Solar","Solar","1.1","1.1","31 Evans Terminal","7205","New Jersey","Union","Hillside","-74.212235","40.697259","","Community Foodbank of NJ","Community Foodbank of NJ","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","5.7","0","0","0","0","0","0","0","Solar","Solar","5.7","5.7","602 CA-78","92227","California","Imperial","Brawley","-115.481944","32.982778","","NRG Solar Community 1 LLC","Community Solar 1","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","30","0","0","0","0","0","0","0","0","Wind","Wind","30","30","Verdi Township","56136","Minnesota","Lincoln","Verdi Township","-96.406389","44.245556","","NRG Energy Gas & Wind Holdings Inc","Community Wind North LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","30","0","0","0","0","0","0","0","0","Wind","Wind","30","30","18957 Jones Avenue","56168","Minnesota","Nobles","Rushmore","-95.802778","43.713611","","Zephyr Wind LLC","Community Wind South","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","50.4","0","0","0","0","0","0","0","0","Wind","Wind","50.4","50.4","Hwy 136","64423","Missouri","Nodaway","Stanberry","-94.6722","40.2572","","CR Clearing, LLC","Conception","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","9.6","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","9.6","9.6","5185 Morehead Rd","28027","North Carolina","Cabarrus","Concord","-80.670385","35.34598","","Concord Energy LLC","Concord Energy","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","5.2","0","0","0","0","0","0","0","Solar","Solar","5.2","5.2","2201 Trinity Church Road","28027","North Carolina","Cabarrus","Concord","-80.663641","35.444235","","Shoe Show, Inc.","Concord Farm","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","1.5","0","0","0","0","0","0","0","Solar","Solar","1.5","1.5","755 Walden Street","1742","Massachusetts","Middlesex","Concord","-71.335","42.444","","Kearsarge Solar LLC","Concord Solar Farm","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","49.8","0","0","0","0","0","0","0","0","Wind","Wind","49.8","49.8","15981 Highway 206","97823","Oregon","Gilliam","Condon","-120.2794","45.2766","","Allete Clean Energy","Condon Windpower LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","15","0","0","0","0","Hydroelectric","Hydroelectric","15","15","1665 Auen Rd    Ste C","15681","Pennsylvania","Westmoreland","Saltsburg","-79.365703","40.46439","","Pennsylvania Renewable Resources","Conemaugh Hydro Plant","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","80","0","0","0","0","0","0","0","Solar","Solar","80","80","189 Leigh Road","27819","North Carolina","Edgecombe","Conetoe","-77.481","35.822","","Conetoe II Solar, LLC","Conetoe II Solar, LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","5","0","0","0","0","0","0","0","Solar","Solar","5","5","6003 Highway 64 Alt E","27866","North Carolina","Edgecombe","Tarboro","-77.457772","35.825182","","Conetoe Solar, LLC","Conetoe Solar","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","1","0","0","0","0","0","0","0","Solar","Solar","1","1","82 Rodgers Road","6360","Connecticut","New London","Norwich","-72.122544","41.538324","","SolarCity Corporation","Connecticut Municipal Electric Energy Cooperative- Norwich (Rogers Rd)","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","530.8","0","0","0","0","Hydroelectric","Hydroelectric","530.8","530.8","2569 Shures Landing Rd.","21034","Maryland","Harford","Darlington","-76.1752","39.6572","","","Conowingo","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","1.2","0","0","0","0","Hydroelectric","Hydroelectric","1.2","1.2","135 North Washington Avenue","49042","Michigan","St Joseph","Constantine","-85.6694","41.8436","","Indiana Michigan Power Co","Constantine","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","3.9","0","0","0","0","0","0","0","Solar","Solar","3.9","3.9","7-12 Reeves Station Road","1040","New Jersey","Burlington","Medford","-74.818056","39.928889","","Constellation Solar Federal LLC","Constellation New Energy Inc","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","72.3","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","72.3","72.3","401 NE Adams St","98607","Washington","Clark","Camas","-122.4056","45.584722","","Georgia-Pacific Consumer Prod. (Camas) LLC","Consumer Products (Camas) LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","37.5","0","0","0","0","Hydroelectric","Hydroelectric","37.5","37.5","1501 Gorge Rd.","93514","California","Inyo","Bishop","-118.556988","37.437921","","Los Angeles Department of Water & Power","Control Gorge","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","9","0","0","0","0","Hydroelectric","Hydroelectric","9","9","Cooke Dam Rd.","48750","Michigan","Iosco","Oscoda","-83.571947","44.472624","","Consumers Energy Co","Cooke","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","4.5","0","0","0","0","0","0","0","0","Wind","Wind","4.5","4.5","6793 US Route 127 North","45891","Ohio","Van Wert","Van Wert","-84.570277","40.905833","","V.H. Cooper & Co., Inc.","Cooper Farms VW Project","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","19.4","0","0","0","0","Hydroelectric","Hydroelectric","19.4","19.4","Mile 12 Snug Harbor Road","99572","Alaska","Kenai Peninsula","Cooper Landing","-149.665603","60.392331","","Chugach Electric Assn Inc","Cooper Lake","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","20","0","0","0","0","Hydroelectric","Hydroelectric","20","20","Copco Rd, 20 Mi East of I5","96044","California","Siskiyou","Hornbrook","-122.335317","41.978914","","PacifiCorp","Copco 1","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","27","0","0","0","0","Hydroelectric","Hydroelectric","27","27","19305 Daggett Road","96044","California","Siskiyou","Hornbrook","-122.358127","41.975716","","PacifiCorp","Copco 2","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","3.3","0","0","0","0","Hydroelectric","Hydroelectric","3.3","3.3","Cataract Street","13626","New York","Lewis","Copenhagen","-75.660268","43.899745","","CHI Energy Inc","Copenhagen Plant","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","20","0","0","0","0","0","0","0","Solar","Solar","20","20","Highway 70 W","85501","Arizona","Gila","Globe","-111.484011","33.160601","","Avangrid Renewables LLC","Copper Crossing Solar LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","0","0","0","2.6","0","0","0","0","Hydroelectric","Hydroelectric","2.6","2.6","1900 Copper Dam Road","97031","Oregon","Hood River","Hood River","-121.523761","45.66523","","Farmer's Irrigation District","Copper Dam Plant","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","154","0","0","0","0","0","0","0","Solar","Solar","154","154","585 Eldorado Valley Drive","89005","Nevada","Clark","Boulder City","-114.962778","35.786389","","Copper Mountain Solar 2, LLC","Copper Mountain Solar 2","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","255","0","0","0","0","0","0","0","Solar","Solar","255","255","15301 Hwy US 95 South","89006","Nevada","Clark","Boulder City","-114.957912","35.889419","","Copper Mountain Solar 3, LLC","Copper Mountain Solar 3","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","93.6","0","0","0","0","0","0","0","Solar","Solar","93.6","93.6","659 Eldorado Valley Drive","89005","Nevada","Clark","Boulder City","-114.975375","35.78222","","Copper Mountain Solar 4, LLC","Copper Mountain Solar 4, LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","3","0","0","0","0","0","0","0","0","Wind","Wind","3","3","6703 Oak Creek Road","93501","California","Kern","Tehachapi","-118.3417","35.075","","Brookfield Energy Marketing LP","Coram Energy LLC","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","7.5","0","0","0","0","0","0","0","0","Wind","Wind","7.5","7.5","6703 Oak Creek Road","93501","California","Kern","Tehachapi","-118.3417","35.0583","","Brookfield Energy Marketing LP","Coram Energy LLC (ECT)","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","6.5","0","0","0","0","0","0","0","0","Wind","Wind","6.5","6.5","6703 Oak creek Road","93501","California","Kern","Tehachapi","-118.339444","35.0663","","Coram Tehachapi  LP","Coram Tehachapi","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","1.1","0","0","0","0","0","0","0","Solar","Solar","1.1","1.1","1520 Patterson Ave","93212","California","Kings","Corcoran","-119.566516","36.102307","","WGL Energy Systems, Inc","Corcoran","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","20","0","0","0","0","0","0","0","Solar","Solar","20","20","6658-B Nevada Ave.","93212","California","Kings","Corcoran","-119.573333","36.138333","","Consolidated Edison Development Inc.","Corcoran Solar","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","19.8","0","0","0","0","0","0","0","Solar","Solar","19.8","19.8","6734 Nevada Avenue","93201","California","Kings","Corcoran","-119.581667","36.141944","","Consolidated Edison Development Inc.","Corcoran Solar 2","United States"
"201705","EIA-860, EIA-860M and EIA-923","0","0","0","0","20","0","0","0","0","0","0","0","Solar","Solar","20","20","7094 Nevada Avenue","93212","California","Kings","Corcoran","-119.58542","36.15042","","Consolidated Edison Development Inc.","Corcoran Solar 3","United States"
